transaction_id,timestamp,room,severity,anomaly_score,violated_count,applicable_count,top_violated_rule
41726,2018-07-29 00:28:00,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41734,2018-07-29 00:28:10,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41747,2018-07-29 00:28:20,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41748,2018-07-29 00:28:20,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41758,2018-07-29 00:28:30,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41766,2018-07-29 00:28:40,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41779,2018-07-29 00:28:50,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41780,2018-07-29 00:28:50,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41790,2018-07-29 00:29:00,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41798,2018-07-29 00:29:10,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41811,2018-07-29 00:29:20,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41812,2018-07-29 00:29:20,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41822,2018-07-29 00:29:30,A22,HIGH,1.0000,3,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF] (conf=0.983, sup=0.220)"
41830,2018-07-29 00:29:40,A22,HIGH,1.0000,3,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF] (conf=0.983, sup=0.220)"
41843,2018-07-29 00:29:50,A22,HIGH,1.0000,3,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF] (conf=0.983, sup=0.220)"
41844,2018-07-29 00:29:50,A22,HIGH,1.0000,3,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF] (conf=0.983, sup=0.220)"
44605,2018-07-29 01:13:00,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44613,2018-07-29 01:13:10,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
